Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Status
2021-04-02;ADA;732,3;2019-02-19;0,0;3077,67;OK
2021-04-02;ADA;55,7;2019-02-19;0,0;418,42;OK
2021-04-02;ADA;161,8;2019-02-19;0,0;1215,44;OK
2021-04-02;ADA;40,0;2019-02-19;0,0;300,48;OK
2021-04-02;ADA;46,0;2019-02-19;0,0;345,55;OK
2021-04-02;ADA;106,2;2019-02-19;0,0;797,78;OK
2021-04-02;ADA;45,2;2019-02-19;0,0;249,26;OK
2021-04-02;ADA;512,9;2019-02-19;0,0;2828,41;OK
2021-04-02;ADA;294,3;2019-02-19;0,0;2874,51;OK
2021-04-02;ADA;20,8;2019-02-19;0,0;203,16;OK
2021-04-02;ADA;435,4;2019-02-19;0,0;2192,44;OK
2021-04-02;ADA;156,0;2019-02-19;0,0;785,53;OK
2021-04-02;ADA;19,8;2019-02-19;0,0;99,7;OK
2021-04-02;ADA;230,2;2019-02-19;0,0;1896,36;OK
2021-04-02;ADA;99,7;2019-02-19;0,0;821,32;OK
2021-04-02;ADA;43,7;2019-02-19;0,0;360,0;OK
2021-04-18;ADA;52,8;2019-02-19;0,0;770,84;OK
2021-04-18;ADA;322,7;2019-02-19;0,0;4711,18;OK
2021-04-18;ADA;150,1;2019-02-19;0,0;2191,35;OK
2021-04-18;ADA;150,0;2019-02-19;0,0;2189,89;OK
2021-04-18;ADA;367,6;2019-02-19;0,0;5366,68;OK
2021-04-18;ADA;94,9;2019-02-19;0,0;15229,93;OK
2021-04-18;ADA;249,5;2019-02-19;0,0;12666,23;OK
2021-04-18;ADA;50,5;2019-02-19;0,0;2563,71;OK
2021-04-18;ADA;68,4;2019-02-19;0,0;848,24;OK
2021-04-18;ADA;45,5;2019-02-19;0,0;564,26;OK
2021-04-18;ADA;1114,2;2019-02-19;0,0;13817,43;OK
2021-04-18;ADA;1385,8;2019-02-19;0,0;12461,26;OK
2021-04-18;ADA;51,6;2019-02-19;0,0;463,99;OK
2021-04-18;ADA;256,3;2019-02-19;0,0;2304,68;OK
