Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado
2021-04-02;BTC;0,00455958;2019-08-04;0,0;2569,99;2569,99
2021-04-02;BTC;0,00192642;2019-04-03;0,0;1085,82;1085,82
2021-04-02;BTC;0,006486;2019-04-03;0,0;3655,81;3655,81
2021-04-02;BTC;0,01297902;2019-04-03;0,0;944,33;944,33
2021-04-02;BTC;0,00648934;2019-08-04;0,0;472,15;472,15
2021-04-02;BTC;0,00648934;2019-04-03;0,0;472,15;472,15
2021-04-02;BTC;0,00150304;2019-09-04;0,0;109,36;109,36
2021-04-02;BTC;0,00150304;2019-05-15;0,0;109,36;109,36
2021-04-02;BTC;0,02128222;2019-09-04;0,0;1548,46;1548,46
2021-04-02;ETH;0,17914776;2019-01-28;0,0;1268,19;1268,19
2021-04-02;ETH;0,31463224;2019-02-19;0,0;2227,29;2227,29
2021-04-02;ETH;0,28836;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ETH;0,35893;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ETH;0,21424264;2019-02-19;0,0;2086,43;2086,43
2021-04-02;ETH;0,14468736;2019-02-19;0,0;1409,05;1409,05
2021-04-02;ETH;0,5;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ADA;732,3;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;409,7;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;432,1;2019-02-19;0,0;2382,84;2382,84
2021-04-02;ADA;45,6;2019-02-19;0,0;251,46;251,46
2021-04-02;ADA;80,4;2019-02-19;0,0;443,37;443,37
2021-04-02;ADA;125,5;2019-02-19;0,0;1225,79;1225,79
2021-04-02;ADA;189,6;2019-02-19;0,0;1851,88;1851,88
2021-04-02;ADA;611,2;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;373,6;2019-02-19;0,0;3077,67;3077,67
2021-04-18;ADA;118,9;2019-02-19;0,0;1735,85;1735,85
2021-04-18;ADA;45,5;2019-02-19;0,0;664,27;664,27
2021-04-18;ADA;878,8;2019-02-19;0,0;12829,82;12829,82
2021-04-18;ADA;94,9;2019-02-19;0,0;15229,93;15229,93
2021-04-18;ADA;300,0;2019-02-19;0,0;15229,93;15229,93
2021-04-18;ADA;1226,3;2019-02-19;0,0;15207,61;15207,61
2021-04-18;ADA;1,8;2019-02-19;0,0;22,32;22,32
2021-04-18;ADA;49,8;2019-02-19;0,0;447,81;447,81
2021-04-18;ADA;1643,9;2019-02-19;0,0;14782,12;14782,12
2021-04-18;ADA;1638,5;2019-02-19;0,0;2481,55;2481,55
2021-04-18;ADA;161,8;2019-02-19;0,0;245,05;245,05
2021-04-18;ADA;40,0;2019-02-19;0,0;60,58;60,58
2021-04-18;ADA;46,0;2019-02-19;0,0;69,67;69,67
2021-04-18;ADA;151,4;2019-02-19;0,0;229,3;229,3
2021-04-18;ADA;807,2;2019-02-19;0,0;1222,53;1222,53
2021-04-18;ADA;456,2;2019-02-19;0,0;690,93;690,93
2021-04-18;ADA;156,0;2019-02-19;0,0;236,27;236,27
2021-04-18;ADA;250,0;2019-02-19;0,0;378,63;378,63
2021-04-18;ADA;99,7;2019-02-19;0,0;151,0;151,0
2021-04-18;ADA;237,3;2019-02-19;0,0;359,4;359,4
2021-04-18;ADA;52,3;2019-02-19;0,0;79,21;79,21
2021-04-18;ADA;2868,6;2019-02-19;0,0;4344,57;4344,57
2021-04-18;ADA;45,6;2019-02-19;0,0;69,06;69,06
2021-04-18;ADA;205,9;2019-02-19;0,0;311,84;311,84
2021-04-18;ADA;2500,0;2019-02-19;0,0;3786,32;3786,32
2021-04-18;ADA;52,8;2019-02-19;0,0;79,97;79,97
2021-04-18;ADA;286,6;2019-02-19;0,0;434,06;434,06
2021-04-18;ADA;36,1;2019-02-19;0,0;5793,47;5793,47
2021-04-18;ADA;58,8;2019-02-19;0,0;9436,46;9436,46
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;19431,0;2020-07-16;0,0;3884,26;3884,26
2021-04-19;VET;14712,0;2020-07-16;0,0;2940,93;2940,93
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96
2021-04-19;VET;1002,0;2019-07-12;0,0;200,3;200,3
2021-04-19;VET;13207,4;2019-07-12;0,0;2640,16;2640,16
2021-04-19;ADA;19,3;2019-02-19;0,0;19,67;19,67
2021-04-19;ADA;19,1;2019-02-19;0,0;38,94;38,94
2021-04-19;ADA;19,1;2019-02-19;0,0;38,94;38,94
2021-04-19;ADA;33,8;2019-02-19;0,0;34,7;34,7
2021-04-19;ADA;150,0;2019-02-19;0,0;154,01;154,01
2021-04-19;ADA;712,0;2019-02-19;0,0;731,04;731,04
2021-04-19;ADA;118,9;2019-02-19;0,0;122,08;122,08
2021-04-19;ADA;45,5;2019-02-19;0,0;46,72;46,72
2021-04-19;ADA;1613,0;2019-02-19;0,0;1656,13;1656,13
2021-04-19;ADA;19,3;2019-02-19;0,0;2744,68;2744,68
2021-05-06;ADA;51,6;2019-02-19;0,0;71,35;71,35
2021-05-06;ADA;1514,4;2019-02-19;0,0;2093,96;2093,96
2021-05-07;AVAX;21,0;2021-01-24;0,0;740,14;740,14
2021-05-07;AVAX;0,8;2021-01-24;0,0;28,2;28,2
2021-05-07;AVAX;21,0;2019-07-18;0,0;740,14;740,14
2021-05-07;AVAX;0,8;2019-07-18;0,0;28,2;28,2
2021-05-07;AVAX;3,474;2019-07-26;0,0;122,44;122,44
2021-05-09;ADA;1058,36;2019-02-19;0,0;11284,46;11284,46
2021-05-09;ADA;709,64;2019-02-19;0,0;1412,08;1412,08
2021-05-09;ADA;161,8;2019-02-19;0,0;321,96;321,96
2021-05-09;ADA;40,0;2019-02-19;0,0;79,59;79,59
2021-05-09;ADA;46,0;2019-02-19;0,0;91,53;91,53
2021-05-09;ADA;151,4;2019-02-19;0,0;301,26;301,26
2021-05-09;ADA;807,2;2019-02-19;0,0;1606,21;1606,21
2021-05-09;ADA;456,2;2019-02-19;0,0;907,77;907,77
2021-05-09;ADA;156,0;2019-02-19;0,0;310,42;310,42
2021-05-09;ADA;250,0;2019-02-19;0,0;497,46;497,46
2021-05-09;ADA;99,7;2019-02-19;0,0;198,39;198,39
2021-05-09;ADA;237,3;2019-02-19;0,0;472,19;472,19
2021-05-09;ADA;52,3;2019-02-19;0,0;104,07;104,07
2021-05-09;ADA;2503,46;2019-02-19;0,0;4981,52;4981,52
2021-05-09;ADA;365,14;2019-02-19;0,0;3244,42;3244,42
2021-05-09;ADA;45,6;2019-02-19;0,0;405,17;405,17
2021-05-09;ADA;205,9;2019-02-19;0,0;1829,5;1829,5
2021-05-09;ADA;653,36;2019-02-19;0,0;5805,37;5805,37
2021-05-09;ADA;0,64;2019-02-19;0,0;0,9;0,9
2021-05-15;ADA;998,93;2019-02-19;0,0;2017,81;2017,81
2021-05-15;ADA;6,01;2019-02-19;0,0;2017,81;2017,81
2021-05-15;ADA;131,0;2019-02-19;0,0;2017,81;2017,81
2021-05-15;ADA;63,71;2019-02-19;0,0;2017,81;2017,81
2021-05-15;ADA;0,35;2019-02-19;0,0;0,59;0,59
2021-05-20;VET;400,0;2019-07-12;0,0;266,93;266,93
2021-05-20;VET;400,0;2019-07-12;0,0;266,93;266,93
2021-05-20;VET;400,0;2019-07-12;0,0;266,93;266,93
2021-05-20;VET;400,0;2019-07-12;0,0;266,93;266,93
2021-05-20;VET;3275,26;2019-07-12;0,0;2185,62;2185,62
2021-05-20;VET;5640,29;2019-07-12;0,0;3253,32;3253,32
2021-05-20;VET;4000,0;2019-07-12;0,0;3253,32;3253,32
2021-05-20;VET;849,44;2019-07-12;0,0;3253,32;3253,32
2021-05-20;VET;5666,01;2019-07-12;0,0;1392,35;1392,35
2021-05-20;VET;7573,0;2019-07-12;0,0;1860,97;1860,97
2021-05-20;AVAX;17,526;2019-07-26;0,0;440,39;440,39
2021-05-20;AVAX;0,8;2019-07-26;0,0;20,1;20,1
2021-05-20;AVAX;59,7;2021-01-25;0,0;1500,12;1500,12
2021-05-20;AVAX;59,7;2019-05-01;0,0;1500,12;1500,12
2021-05-20;AVAX;27,0;2021-01-25;0,0;678,45;678,45
2021-05-20;AVAX;8,6;2021-01-25;0,0;216,1;216,1
2021-05-20;AVAX;29,3;2021-01-25;0,0;736,24;736,24
2021-05-20;AVAX;12,332;2021-01-25;0,0;309,88;309,88
2021-05-20;AVAX;22,895;2021-01-25;0,0;5401,4;5401,4
2021-05-20;XRP;72,9;2019-05-29;0,0;89,5;89,5
2021-05-20;XRP;72,9;2019-01-28;0,0;89,5;89,5
2021-05-20;XRP;79,0;2019-05-29;0,0;96,99;96,99
2021-05-20;XRP;112,5;2019-05-29;0,0;138,12;138,12
2021-05-20;XRP;79,0;2019-01-28;0,0;96,99;96,99
2021-05-20;XRP;112,5;2019-01-28;0,0;138,12;138,12
2021-05-20;XRP;79,0;2019-01-28;0,0;96,99;96,99
2021-05-20;XRP;112,5;2019-01-28;0,0;138,12;138,12
2021-05-20;XRP;18,8;2019-05-29;0,0;23,08;23,08
2021-05-20;XRP;118,6;2019-05-29;0,0;145,61;145,61
2021-05-20;XRP;18,8;2019-01-28;0,0;23,08;23,08
2021-05-20;XRP;118,6;2019-01-28;0,0;145,61;145,61
2021-05-20;XRP;18,8;2019-01-28;0,0;23,08;23,08
2021-05-20;XRP;118,6;2019-01-28;0,0;145,61;145,61
2021-05-20;XRP;366,78;2019-05-29;0,0;450,32;450,32
2021-05-20;XRP;295,87;2019-05-29;0,0;1840,75;1840,75
2021-05-21;THETA;3,0;2021-04-05;0,0;26,51;26,51
2021-05-21;THETA;3,0;2019-09-04;0,0;26,51;26,51
2021-05-21;THETA;56,0;2021-04-05;0,0;494,83;494,83
2021-05-21;THETA;56,0;2019-01-02;0,0;494,83;494,83
2021-05-21;THETA;49,6;2021-04-05;0,0;438,28;438,28
2021-05-21;THETA;49,6;2019-09-04;0,0;438,28;438,28
2021-05-21;THETA;346,978;2021-04-05;0,0;3066,01;3066,01
2021-05-21;THETA;48,522;2021-04-05;0,0;763,26;763,26
